Tag,SimplifiedTags
Ap,Adjective
Apc,Adjective
Aps,Adjective
Aq,Adjective
Aq-dfd,Adjective
Aq-dfn,Adjective
Aq-p,Adjective
Aq-pfd,Adjective
Aq-pfg,Adjective
Aq-pfn,Adjective
Aq-pfv,Adjective
Aq-pmd,Adjective
Aq-pmg,Adjective
Aq-pmn,Adjective
Aq-pmv,Adjective
Aq-s,Adjective
Aq-sfd,Adjective
Aq-sfg,Adjective
Aq-sfn,Adjective
Aq-sfv,Adjective
Aq-smd,Adjective
Aq-smg,Adjective
Aq-smn,Adjective
Aq-smv,Adjective
Ar,Adjective
Av,Adjective
Cc,Other
Cs,Other
Cs+Qq,Other
Csw,Other
Dd,Other
Dp1p,Other
Dp2p,Other
Dp3p,Other
Dp1s,Other
Dp2s,Other
Dp3sf,Other
Dp3sm,Other
Dq,Other
Fb,Other
Fe,Other
Fg,Other
Fi,Other
Fq,Other
Fu,Other
Fz,Other
I,Other
Mc,Other
Mn,Other
Mo,Other
Mr,Other
Ms,Other
Ncdfd,Noun
Ncdfde,Noun
Ncdfn,Noun
Ncdfne,Noun
Ncpfd,Noun
Ncpfde,Noun
Ncpfg,Noun
Ncpfge,Noun
Ncpfn,Noun
Ncpfne,Noun
Ncpfv,Noun
Ncpmd,Noun
Ncpmde,Noun
Ncpmg,Noun
Ncpmge,Noun
Ncpmn,Noun
Ncpmne,Noun
Ncpmv,Noun
Ncsfd,Noun
Ncsfde,Noun
Ncsfg,Noun
Ncsfge,Noun
Ncsfn,Noun
Ncsfn+Pr1s,Noun
Ncsfne,Noun
Ncsfv,Noun
Ncsmd,Noun
Ncsmde,Noun
Ncsmg,Noun
Ncsmge,Noun
Ncsmn,Noun
Ncsmn+Pr1s,Noun
Ncsmne,Noun
Ncsmv,Noun
Nf,Noun
Nf---e,Noun
Nn,Noun
Nn-fd,Noun
Nn-fg,Noun
Nn-fn,Noun
Nn-fv,Noun
Nn-md,Noun
Nn-mg,Noun
Nn-mn,Noun
Nn-mv,Noun
Nt,Noun
Nv,Noun
Nv---e,Noun
Pd,Pronoun
Pn,Pronoun
Pp1p,Pronoun
Pp1p--e,Pronoun
Pp2p,Pronoun
Pp2p--e,Pronoun
Pp3p,Pronoun
Pp3p--e,Pronoun
Pp3p-n,Pronoun
Pp3p-ne,Pronoun
Pp1s,Pronoun
Pp1s--e,Pronoun
Pp2s,Pronoun
Pp2s--e,Pronoun
Pp3sf,Pronoun
Pp3sf-e,Pronoun
Pp3sfn,Pronoun
Pp3sfne,Pronoun
Pp3sm,Pronoun
Pp3sm-e,Pronoun
Pp3smn,Pronoun
Pp3smne,Pronoun
Pr1p,Pronoun
Pr1p--e,Pronoun
Pr2p,Pronoun
Pr2p--e,Pronoun
Pr3p,Pronoun
Pr3p--e,Pronoun
Pr1s,Pronoun
Pr1s--e,Pronoun
